id,word,normalized,part_of_speech,english_definition,nepali_definition,dialect,source,verified,needs_review,extraction_method
14c8cab5-05e6-49de-9f2b-8bec7893c98f,Akas,akas,unknown,"n sky, heav",,Unknown,"Opgenort 2004, p.591",False,True,digital
d2678a93-2e4f-4a00-8b6b-e7b5e6e2085c,AIAici,aiaici,unknown,n brown,,Unknown,"Opgenort 2004, p.591",False,True,digital
a2acc1ee-0e9d-40f5-9b99-21ae8df9de98,NGLISH,nglish,unknown,LEXICON 545,,Unknown,"Opgenort 2004, p.591",False,True,digital
48228f24-c12c-4615-9e10-2100567ff222,ingular,ingular,unknown,agreement marker,,Unknown,"Opgenort 2004, p.591",False,True,digital
279eb92a-fedf-441e-a1e6-c3a5f3a5043e,nt,nt,and,subject agreement marker,,Unknown,"Opgenort 2004, p.591",False,True,digital
7917c0c2-47ce-405b-9133-fbbd33a437bb,actly,actly,unknown,Lit. 32 3f ii,,Unknown,"Opgenort 2004, p.591",False,True,digital
78245412-04b8-454f-84b9-b928241836af,la,la,unknown,3lif{ aber] adv later. Lit. 3 22 ~,,Unknown,"Opgenort 2004, p.591",False,True,digital
1d6b7d6d-265b-4a8c-8699-b29cc5d32b3d,chability,chability,unknown,without contamination of,,Unknown,"Opgenort 2004, p.591",False,True,digital
368a2a37-cfd7-48bb-b2c7-bfc025fea7ae,camma,camma,unknown,"] n wonder, surprise. Lit. 3 3l""",,Unknown,"Opgenort 2004, p.591",False,True,digital
242b207a-ea07-4e53-a1f5-845293cd084b,unexpectedly,unexpectedly,unknown,suddenly,,Unknown,"Opgenort 2004, p.591",False,True,digital
0c55ecf1-7034-404d-a7b3-07d54e400c70,Lit,lit,unknown,"ai~ql""'lll""l acjaipacam",,Unknown,"Opgenort 2004, p.591",False,True,digital
93f8c338-e4bc-49fb-9395-ce869efc13f8,ront,ront,unknown,first. Cf. r.fambi,,Unknown,"Opgenort 2004, p.591",False,True,digital
abbf5f5f-d979-4674-b6ff-34e6c96422b2,ep,ep,unknown,"~ aglo] n wooden bolt, latch",,Unknown,"Opgenort 2004, p.591",False,True,digital
287adce2-f983-4389-a4d4-5cf779c9159f,agenu,agenu,unknown,'central fireplace' +~Cf dev,,Unknown,"Opgenort 2004, p.591",False,True,digital
91f5f054-139a-422d-86d4-c23fee91617d,le,le,deity,to whom the meat of a hen,,Unknown,"Opgenort 2004, p.591",False,True,digital
1e0c85ae-ca13-49d7-83e7-1ebe2f51898f,arker,arker,unknown,Lit. ·ft ·ai,,Unknown,"Opgenort 2004, p.591",False,True,digital
b703d48e-ed20-466b-bb9b-48d10890adca,ser,ser,of,loan verbs. Lit. 22 29 ·ft ·ai,,Unknown,"Opgenort 2004, p.591",False,True,digital
37d97573-308f-48a4-aab0-cd7bd5d1f0d0,ndow,ndow,glass,"Lit. itrn"" aina, $r az",,Unknown,"Opgenort 2004, p.591",False,True,digital
408621a6-5d0c-4b95-879c-55a13d490d4a,Jean,jean,unknown,Robert Opgenort - 978-90-47-41413-1,,Unknown,"Opgenort 2004, p.591",False,True,digital
81b42e01-97ec-428d-bd8f-17b66554dd85,Downloaded,downloaded,from,Brill.com05/01/2023 08:55:16AM,,Unknown,"Opgenort 2004, p.591",False,True,digital
dfa38c70-bc30-4b88-af4d-ccb96c14532b,via,via,unknown,Western University,,Unknown,"Opgenort 2004, p.591",False,True,digital
